year,agricultural_land_pct,cereal_yield_kg_per_ha,fertilizer_use_kg_per_ha,freshwater_withdrawal_pct,rural_population_pct
2001,72.2363063685949,3352.6,174.590268577623,,76.3000785231377
2002,71.8521932857033,3374.0,188.639161517024,,75.8867616452668
2003,71.6601367442575,3479.8,160.266893534273,,75.4474442487375
2004,71.6217254359684,3439.4,170.671374186418,,74.9905190113899
2005,71.5295382960744,3663.6,192.872642090988,,74.5230459298491
2006,71.2913881846816,3710.5,188.408168316832,,74.0520850007404
2007,71.1838365214719,3783.1,179.81000499002,,73.584696220689
2008,71.0839671199201,4154.3,195.064350868424,34.1619047619048,73.12793958632
2009,71.0301912883153,4126.4,184.290524471148,34.1619047619048,72.6888750942588
2010,70.9917799800261,4262.6,208.024322968907,34.1619047619048,72.2745627411304
2011,70.1236844126911,4367.1,249.746915935394,34.1619047619048,71.8899837287573
2012,70.0622263194284,4396.5,254.30935709739,34.1619047619048,71.5212027105424
2013,69.9700391795345,4492.1,253.280642653537,34.1619047619048,71.1592963893237
2014,69.900898824614,4558.8,278.132224964281,34.1619047619048,70.8055557678987
2015,70.3867250518553,4588.2,297.810941171621,34.1619047619048,70.4604900522108
2016,70.6323269570562,4624.0,288.288357639838,34.1619047619048,70.1246084482035
2017,70.5794729968503,4684.5,302.542720033696,34.1619047619048,69.7984201618201
2018,70.694476453868,4778.5,318.46686309072,34.1619047619048,69.4824343990041
2019,72.1902127986479,4855.4,320.445462644775,34.1619047619048,69.1771603656988
2020,72.4437274333564,4885.9,325.386565272497,34.1619047619048,68.8831072678476
2021,72.3515402934624,4964.4,395.72014579444,34.1619047619048,68.6007843113939
2022,72.3706433287272,5089.7,388.941232933807,34.1619047619048,68.326265273766
2023,72.311124788429,5320.9,391.888102126796,,67.8421534963166
