scenario,district_name,baseline_yield,delta_yield,projected_yield,pct_change
Baseline (2015–2022),Bagerhat,4.428,0.0,4.428,0.0
Baseline (2015–2022),Bandarban,3.675,0.0,3.675,0.0
Baseline (2015–2022),Barguna,3.198,0.0,3.198,0.0
Baseline (2015–2022),Barisal,3.695,0.0,3.695,0.0
Baseline (2015–2022),Bhola,3.792,0.0,3.792,0.0
Baseline (2015–2022),Bogura,3.885,0.0,3.885,0.0
Baseline (2015–2022),Chandpur,3.803,0.0,3.803,0.0
Baseline (2015–2022),Chapai Nawabganj,4.069,0.0,4.069,0.0
Baseline (2015–2022),Chattogram,3.423,0.0,3.423,0.0
Baseline (2015–2022),Chuadanga,3.897,0.0,3.897,0.0
Baseline (2015–2022),Cox's Bazar,3.946,0.0,3.946,0.0
Baseline (2015–2022),Cumilla,3.661,0.0,3.661,0.0
Baseline (2015–2022),Dhaka,4.571,0.0,4.571,0.0
Baseline (2015–2022),Dinajpur,4.082,0.0,4.082,0.0
Baseline (2015–2022),Faridpur,4.305,0.0,4.305,0.0
Baseline (2015–2022),Feni,3.575,0.0,3.575,0.0
Baseline (2015–2022),Gaibandha,3.926,0.0,3.926,0.0
Baseline (2015–2022),Gazipur,4.146,0.0,4.146,0.0
Baseline (2015–2022),Gopalganj,4.92,0.0,4.92,0.0
Baseline (2015–2022),Habiganj,3.655,0.0,3.655,0.0
Baseline (2015–2022),Jamalpur,4.05,0.0,4.05,0.0
Baseline (2015–2022),Jashore,4.456,0.0,4.456,0.0
Baseline (2015–2022),Jhalokati,3.777,0.0,3.777,0.0
Baseline (2015–2022),Jhenaidah,4.367,0.0,4.367,0.0
Baseline (2015–2022),Joypurhat,4.026,0.0,4.026,0.0
Baseline (2015–2022),Khagrachhari,3.593,0.0,3.593,0.0
Baseline (2015–2022),Khulna,4.119,0.0,4.119,0.0
Baseline (2015–2022),Kishoreganj,4.242,0.0,4.242,0.0
Baseline (2015–2022),Kurigram,4.15,0.0,4.15,0.0
Baseline (2015–2022),Kushtia,4.077,0.0,4.077,0.0
Baseline (2015–2022),Lakshmipur,3.915,0.0,3.915,0.0
Baseline (2015–2022),Lalmonirhat,4.047,0.0,4.047,0.0
Baseline (2015–2022),Madaripur,4.353,0.0,4.353,0.0
Baseline (2015–2022),Magura,3.897,0.0,3.897,0.0
Baseline (2015–2022),Manikganj,4.63,0.0,4.63,0.0
Baseline (2015–2022),Meherpur,3.973,0.0,3.973,0.0
Baseline (2015–2022),Moulvibazar,3.618,0.0,3.618,0.0
Baseline (2015–2022),Munshiganj,4.227,0.0,4.227,0.0
Baseline (2015–2022),Mymensingh,4.03,0.0,4.03,0.0
